Genre,Article Name,Model,sentiment_shift,keyword_overlap,similarity,framing_label,article_keywords,summary_keywords,missing_important_topics
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,GPT,0.0103,0.3,0.8898,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,poultry infections | salmonella poisoning | contracted salmonella | salmonella | antibiotics outbreak | birds outbreak | handling poultry | poultry environment | prevention cdc | infections,illnesses reported | including salmonella | poultry recent | salmonella infections | salmonella outbreaks | sickened salmonella | treat salmonella
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Gemini,0.0621,0.3,0.8088,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,resistant salmonella | salmonella infections | handling poultry | salmonella | poultry environment | frequent handwashing | backyard poultry | bacteria infections | poultry | infections,illnesses reported | including salmonella | poultry recent | salmonella outbreaks | salmonella poisoning | sickened salmonella | treat salmonella
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Grok,0.3087,0.2,0.8497,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,salmonella outbreak | reporting salmonella | poultry sickened | treat salmonella | salmonella raising | salmonella | poultry prevent | backyard poultry | prevent infection | poultry,handling poultry | illnesses reported | including salmonella | poultry recent | salmonella infections | salmonella outbreaks | salmonella poisoning | sickened salmonella
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,GPT,-0.0424,0.3,0.8672,Major shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein intake | protein meal | protein consumption | eat protein | recommended protein | protein dietitians | workout protein | protein rich | include protein | meal ideal,daily protein | eating protein | protein best | protein diets | protein dinner | protein eat | protein healthy
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Gemini,-0.0163,0.4,0.8463,Slight shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein intake | protein meal | protein breakfast | eat protein | protein dinner | grams protein | protein | benefits protein | appetite protein | prioritizing protein,daily protein | eating protein | protein best | protein diets | protein eat | protein healthy
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Grok,-0.0099,0.3,0.8638,Major shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein intake | protein meal | eat protein | protein day | weight protein | grams protein | protein | protein especially | protein essential | breakfast overnight,daily protein | eating protein | protein best | protein diets | protein dinner | protein eat | protein healthy
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,0.029,0.0,0.6526,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,considering aspirin | effects aspirin | aspirin benefits | aspirin significantly | aspirin widely | aspirin preventive | aspirin | evidence aspirin | inhibit cancer | implications cancer,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,1.6166,0.0,0.5631,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,aspirin inhibit | aspirin increasingly | painkiller aspirin | aspirin significantly | suggests aspirin | aspirin | dose aspirin | aspirin taken | emphasizing aspirin | colorectal cancer,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,0.0213,0.0,0.6643,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,mutations aspirin | aspirin medicine | summary aspirin | aspirin | aspirin reduced | understand aspirin | dose aspirin | aspirin taken | inhibiting cox | aspirin works,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,-0.3437,0.4,0.9249,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,microbiome wellness | effects coffee | microbiome mood | coffee gut | consuming caffeinated | caffeine content | caffeine | gut health | caffeinated coffee | gut microbiome,benefits coffee | caffeinated decaffeinated | caffeine food | coffee caffeinated | drinking caffeinated | drinking coffee
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,-0.636,0.4,0.9349,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,microbiome mood | caffeinated coffee | drinking coffee | gut health | caffeine content | researchers caffeinated | gut microbiome | caffeine | beneficial gut | influences gut,benefits coffee | caffeinated decaffeinated | caffeine food | coffee caffeinated | drinking caffeinated | effects coffee
