Genre,Article Name,Model,supported,contradictions,neutral,total_summary_sentences,faithfulness_score,contradiction_rate,sentence_level_nli
Unknown,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,0,0,0,0,0.0,0.0,[]
Unknown,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,0,0,0,0,0.0,0.0,[]
Unknown,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,0,0,0,0,0.0,0.0,[]
Unknown,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,0,0,0,0,0.0,0.0,[]
Unknown,"New study reveals coffee’s positive gut impacts, even without caffeine",Grok,0,0,0,0,0.0,0.0,[]
Unknown,Judge bars certification of Virginia redistricting results; state AG promises appeal,GPT,0,0,0,0,0.0,0.0,[]
Unknown,Judge bars certification of Virginia redistricting results; state AG promises appeal,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,Judge bars certification of Virginia redistricting results; state AG promises appeal,Grok,0,0,0,0,0.0,0.0,[]
Unknown,CDC blocks publication of report showing COVID vaccine efficacy,GPT,0,0,0,0,0.0,0.0,[]
Unknown,CDC blocks publication of report showing COVID vaccine efficacy,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,CDC blocks publication of report showing COVID vaccine efficacy,Grok,0,0,0,0,0.0,0.0,[]
Unknown,Tim Cook says Apple Maps release was a 'really big mistake',GPT,0,0,0,0,0.0,0.0,[]
Unknown,Tim Cook says Apple Maps release was a 'really big mistake',Gemini,0,0,0,0,0.0,0.0,[]
Unknown,Tim Cook says Apple Maps release was a 'really big mistake',Grok,0,0,0,0,0.0,0.0,[]
Unknown,Apple’s pick to replace Tim Cook hints at its plans for the AI era,GPT,0,0,0,0,0.0,0.0,[]
Unknown,Apple’s pick to replace Tim Cook hints at its plans for the AI era,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,Apple’s pick to replace Tim Cook hints at its plans for the AI era,Grok,0,0,0,0,0.0,0.0,[]
Unknown,SpaceX Strikes Deal With Cursor for $60 Billion,GPT,0,0,0,0,0.0,0.0,[]
Unknown,SpaceX Strikes Deal With Cursor for $60 Billion,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,SpaceX Strikes Deal With Cursor for $60 Billion,Grok,0,0,0,0,0.0,0.0,[]
Unknown,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,GPT,0,0,0,0,0.0,0.0,[]
Unknown,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,Gemini,0,0,0,0,0.0,0.0,[]
Unknown,YouTube clips and a bare stage: How Justin Bieber captivated Coachella — and the internet,Grok,0,0,0,0,0.0,0.0,[]
Unknown,Los Angeles becomes the first major school district to require screen time limits,GPT,0,0,0,0,0.0,0.0,[]
Unknown,Los Angeles becomes the first major school district to require screen time limits,Gemini,0,0,0,0,0.0,0.0,[]
