Genre,Article Name,Model,coverage_score,covered_points,partial_points,missing_points,total_key_points,sentiment_shift,keyword_overlap,similarity,framing_label,missing_important_topics,faithfulness_score,supported,contradictions,neutral,total_summary_sentences,contradiction_rate,sentence_level_nli,point_results,note
Unknown,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",GPT,0.0,0,0,3,3,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Gemini,0.0,0,0,3,3,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Grok,0.0,0,0,3,3,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,GPT,0.0,0,0,8,8,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""The geopolitical conflict between the U.S., Israel, and Iran has settled into a stalemate centered around the closure of the Strait of Hormuz.While direct military bombardments have paused, a \""double blockade\"" is disrupting global commerce.The U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is blocking Iranian oil exports to force diplomatic concessions, while Iran continues to attack and seize commercial vessels, leading to stalled peace talks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""This chokepoint has trapped 10% of the global oil supply, pushing prices above $100 a barrel and sparking fears of global stagflation."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The International Monetary Fund warns that prolonged closure could slash global economic growth to 2% by 2026."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""As a result, Asia faces severe fuel rationing, Europe is grappling with jet-fuel deficits, and the U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is battling inflation risks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Furthermore, Gulf states are suffering billions in infrastructure damage and major setbacks to their tourism and technology sectors."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Without immediate diplomatic breakthroughs, the crisis threatens to cause disruptions to global supply chains and energy markets"", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,Gemini,0.0,0,0,8,8,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""The geopolitical conflict between the U.S., Israel, and Iran has settled into a stalemate centered around the closure of the Strait of Hormuz.While direct military bombardments have paused, a \""double blockade\"" is disrupting global commerce.The U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is blocking Iranian oil exports to force diplomatic concessions, while Iran continues to attack and seize commercial vessels, leading to stalled peace talks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""This chokepoint has trapped 10% of the global oil supply, pushing prices above $100 a barrel and sparking fears of global stagflation."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The International Monetary Fund warns that prolonged closure could slash global economic growth to 2% by 2026."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""As a result, Asia faces severe fuel rationing, Europe is grappling with jet-fuel deficits, and the U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is battling inflation risks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Furthermore, Gulf states are suffering billions in infrastructure damage and major setbacks to their tourism and technology sectors."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Without immediate diplomatic breakthroughs, the crisis threatens to cause disruptions to global supply chains and energy markets"", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,Grok,0.0,0,0,8,8,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""The geopolitical conflict between the U.S., Israel, and Iran has settled into a stalemate centered around the closure of the Strait of Hormuz.While direct military bombardments have paused, a \""double blockade\"" is disrupting global commerce.The U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is blocking Iranian oil exports to force diplomatic concessions, while Iran continues to attack and seize commercial vessels, leading to stalled peace talks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""This chokepoint has trapped 10% of the global oil supply, pushing prices above $100 a barrel and sparking fears of global stagflation."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""The International Monetary Fund warns that prolonged closure could slash global economic growth to 2% by 2026."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""As a result, Asia faces severe fuel rationing, Europe is grappling with jet-fuel deficits, and the U.S."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""is battling inflation risks."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Furthermore, Gulf states are suffering billions in infrastructure damage and major setbacks to their tourism and technology sectors."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Without immediate diplomatic breakthroughs, the crisis threatens to cause disruptions to global supply chains and energy markets"", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Anthropic investigating claim of unauthorised access to Mythos AI tool,GPT,0.0,0,0,1,1,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""Anthropic is investigating a serious security breach where unauthorized users gained access to a highly dangerous, unreleased AI model \""Mythos.\"" The attackers reportedly used an outside contractor's account to access the system, which is kept secret because it is capable of severe computer hacking."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Anthropic investigating claim of unauthorised access to Mythos AI tool,Gemini,0.0,0,0,1,1,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""Anthropic is investigating a serious security breach where unauthorized users gained access to a highly dangerous, unreleased AI model \""Mythos.\"" The attackers reportedly used an outside contractor's account to access the system, which is kept secret because it is capable of severe computer hacking."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Anthropic investigating claim of unauthorised access to Mythos AI tool,Grok,0.0,0,0,1,1,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""Anthropic is investigating a serious security breach where unauthorized users gained access to a highly dangerous, unreleased AI model \""Mythos.\"" The attackers reportedly used an outside contractor's account to access the system, which is kept secret because it is capable of severe computer hacking."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
Unknown,Apple’s pick to replace Tim Cook hints at its plans for the AI era,GPT,0.0,0,0,3,3,0.0,0.0,1.0,Major shift,,0.0,0,0,0,0,0.0,[],"[{""key_point"": ""Apple is betting on the future on AI-integrated hardware as John Ternus, the hardware engineering chief, will be the new CEO starting at September."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""He is replacing Tim Cook, who led Apple for the past 15 years."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}, {""key_point"": ""Business experts believe that Ternus's biggest challenge as the new leader will be successfully guiding the tech giant through the rapidly growing and competitive world of Artificial Intelligence."", ""best_sentence"": """", ""max_similarity"": 0.0, ""status"": ""Missing""}]",
