Genre,Article Name,Model,sentiment_shift,keyword_overlap,similarity,framing_label,article_keywords,summary_keywords,missing_important_topics
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,0.0122,0.0,0.6641,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,aspirin efficacy | aspirin colorectal | aspirin significantly | aspirin effects | use aspirin | aspirin drug | suggest aspirin | aspirin | aspirin use | broader aspirin,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,0.13,0.0,0.6057,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,recommending aspirin | research aspirin | aspirin significantly | aspirin history | aspirin | evidence aspirin | daily aspirin | 2010 aspirin | aspirin thought | aspirin halve,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,0.0149,0.0,0.7361,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,cautious aspirin | aspirin daily | dose aspirin | taking aspirin | aspirin derived | aspirin | works aspirin | aspirin age | aspirin 2026 | 160mg aspirin,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,-0.1015,0.3,0.929,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,coffee health | effects coffee | coffee improves | coffee gut | microbiome psychological | caffeine content | caffeine | suggesting coffee | coffee consumption | gut microbiome,benefits coffee | caffeinated coffee | caffeinated decaffeinated | caffeine food | coffee caffeinated | drinking caffeinated | drinking coffee
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,-0.4456,0.4,0.9344,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,caffeine content | mood coffee | caffeinated coffee | caffeine | gut health | coffee consumption | coffee caffeinated | coffee associated | healthier microbiome | regardless caffeine,benefits coffee | caffeinated decaffeinated | caffeine food | drinking caffeinated | drinking coffee | effects coffee
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Grok,-0.2736,0.3,0.9603,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,coffee health | caffeinated coffee | habitual coffee | consumption caffeinated | food caffeine | caffeine caffeinated | caffeine | coffee significantly | caffeine diaries | caffeinated decaffeinated,benefits coffee | caffeine content | caffeine food | coffee caffeinated | drinking caffeinated | drinking coffee | effects coffee
Health,CDC blocks publication of report showing COVID vaccine efficacy,GPT,-1.8913,0.3,0.8998,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,supporting vaccine | cdc canceled | vaccine policies | vaccine study | vaccine effectiveness | cdc official | publications cdc | kennedy vaccine | cdc scientific | flu vaccine,cdc confirmed | cdc officials | news cdc | oversees cdc | prevention cdc | published cdc | vaccine published
Health,CDC blocks publication of report showing COVID vaccine efficacy,Gemini,-1.6368,0.3,0.8145,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,cdc vaccine | oversees cdc | prevention cdc | vaccine policy | cdc previously | cdc official | previous cdc | cdc director | vaccine policies | cdc reportedly,cdc confirmed | cdc officials | news cdc | published cdc | supporting vaccine | vaccine effectiveness | vaccine published
Health,CDC blocks publication of report showing COVID vaccine efficacy,Grok,-1.9167,0.2,0.8353,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,vaccine study | cdc officials | vaccine policy | vaccine effectiveness | evaluate vaccine | announced vaccine | summary cdc | cdc spokesperson | vaccine recommendations | vaccine,cdc confirmed | cdc official | news cdc | oversees cdc | prevention cdc | published cdc | supporting vaccine | vaccine published
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",GPT,1.4395,0.0,0.5274,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,mrna vaccine | mrna vaccines | vaccines funding | cancer vaccines | vaccines promising | based vaccine | mrna technology | chemotherapy mrna | vaccines cancer | vaccine,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic cancer | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Gemini,0.0249,0.0,0.6231,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,mrna vaccine | cancer vaccines | mrna vaccines | vaccines cancer | cancer vita | vaccine patient | based vaccine | vaccines story | vaccine technology | vaccine,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic cancer | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",Grok,0.0056,0.1,0.6559,Major shift,pancreatic cancer | tumor pancreas | pancreatic tumors | unfounded cancer | patients cancer | pancreatic | patient tumor | cancers long | cancer patients | cancer gotten,pancreatic cancer | cancers pancreatic | cancer vaccine | cancer vaccines | diagnosed pancreatic | cancer immunotherapy | survivors pancreatic | cancer researchers | mrna vaccine | vaccines mrna,cancer gotten | cancer patients | cancers long | pancreatic | pancreatic tumors | patient tumor | patients cancer | tumor pancreas | unfounded cancer
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",GPT,-0.0292,0.0,0.8483,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,kennedy vaccine | vaccines hearings | concern kennedy | kennedy appointment | vaccine policies | measles vaccine | vaccine policy | vaccine faced | kennedy mentioned | vaccine activism,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Gemini,-0.1149,0.0,0.8177,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,kennedy stated | supported kennedy | kennedy issues | praised kennedy | mentioned kennedy | kennedy previously | kennedy jr | kennedy | vaccine promotional | kennedy agency,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",Grok,-0.1477,0.0,0.7632,Major shift,hearings kennedy | administration kennedy | question kennedy | vaccines kennedy | questions kennedy | kennedy senate | vaccine kennedy | kennedy said | kennedy progress | asked kennedy,pesticide kennedy | kennedy highlighted | kennedy broke | kennedy | committee kennedy | kennedy jr | trumprx drug | marked kennedy | liability kennedy | kennedy long,administration kennedy | asked kennedy | hearings kennedy | kennedy progress | kennedy said | kennedy senate | question kennedy | questions kennedy | vaccine kennedy | vaccines kennedy
Health,"RSV is still spreading, prompting states to extend the immunization period",GPT,-0.245,0.2,0.9281,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,rsv immunization | vaccines rsv | immunization season | immunization schedule | virus rsv | rsv season | spring immunizations | childhood immunization | vaccine available | immunization guidelines,hospitalized rsv | immunizations rsv | month immunization | rsv circulating | rsv disease | rsv immunizations | seasons immunizations | toddlers rsv
Health,"RSV is still spreading, prompting states to extend the immunization period",Gemini,-0.7633,0.2,0.8702,Major shift,immunizations rsv | rsv immunizations | rsv immunization | hospitalized rsv | rsv disease | seasons immunizations | toddlers rsv | rsv circulating | rsv season | month immunization,rsv immunizations | pediatricians rsv | rsv season | immunization periods | disease trends | immunizations eligible | rsv positivity | immunizations | protection infants | immunizations primarily,hospitalized rsv | immunizations rsv | month immunization | rsv circulating | rsv disease | rsv immunization | seasons immunizations | toddlers rsv
